37,13,40,1939
38,96,,649
39,8,6,240
40,50,20,2000
41,8,26,1080
41,96,16,160
42,96,20,4477
43,96,15,1931
44,96,20,192
45,96,,4406
46,21,10,250
47,56,118,4988
47,75,125,3375
47,78,197,4925
48,96,4,36.5
49,96,1,56
50,96,1,100
51,8,6,240
51,96,1,280
52,32,20,471
52,36,40,1194
52,38,40,1581
52,125,24,432
52,126,24,288
52,127,44,1936
54,8,5,200
55,27,24,1008
55,36,10,290
55,37,38,1125
55,38,25,990
55,111,219,876
55,113,54,918
55,114,95,1710
55,115,28,392
56,32,12,392
56,36,10,982
57,96,1,10
58,32,36,495
58,38,30,1196
58,95,28,672
59,49,25,1250
59,50,30,1500
59,102,4,112
60,1,48,1968
60,32,17,490
60,33,21,441
60,34,20,600
60,35,59,1593
60,36,30,1194
60,37,30,1188
60,38,30,1143
60,43,6,120
60,128,2,10
61,49,12,600
61,50,6,300
61,51,10,500
62,65,210,630
62,68,320,320
63,1,41,1681
63,32,10,459
63,35,6,162
63,37,10,914
63,38,10,1031
63,64,12,264
63,67,80,720
64,6,18,270
64,36,10,903
64,37,10,996
64,38,10,961
65,13,2,4600
65,26,42,630
65,69,13,507
66,21,2,3237
67,44,69,345
67,47,19,247
67,95,24,552
67,97,3,72
68,54,155,1983.8
68,73,174,3984.6
68,120,28,756
68,121,128,5632
69,107,48,2112
70,107,92,2576
71,55,50,1400
71,77,101,4949
71,81,222,3441
71,117,187,4955.5
71,130,156,4173
72,55,49,1372
72,75,62,1674
72,79,98,2450
72,82,73,3212
72,109,59,1662
72,131,86,1857
73,110,52,1352
74,93,70,2730
75,75,57,2565
75,98,97,2570
76,75,188,5076
76,99,89,2403
76,100,44,1408
76,132,10,828
77,71,94,2538
77,72,64,1728
77,82,110,4840
77,92,118,3274.5
78,96,5,325
80,134,44,1166
81,56,116,4988
81,75,125,3375
81,78,197,4925
82,118,10,160
83,96,1,10
84,8,67,2680
85,21,3,140
86,96,15,538
87,96,1,14
88,21,4,270
88,108,35,1143
89,8,25,2640
90,96,5,112
91,8,25,1480
92,96,1,684
93,22,2,360
94,96,10,1808
95,96,10,340
96,13,10,34800
97,8,20,1080
98,96,50,2479
99,96,1,23
100,8,20,640
101,96,1,30
102,13,2,57
103,8,6,240
104,96,1,100
105,8,8,320
105,96,10,661
106,13,1,34
107,96,1,29
108,112,10,532
109,8,60,2431
109,13,6,220
110,96,1,37
111,8,4,160
111,13,5,149
112,96,10,69
113,8,16,640
113,13,1,15
114,22,1,200
115,13,3,95
116,13,2,65
117,8,215,860
118,8,18,726
119,8,18,726
120,13,,6000
121,13,3,53
122,96,,1177
123,8,13,520
124,8,12,480
124,21,0,10
125,8,8,480
126,96,,327
127,8,5,200
128,96,,306
129,13,1,35
130,13,2,53
131,96,,91
132,96,,2458
133,96,,53
134,96,,115
135,96,2,47
136,96,,10986
137,96,,147
138,96,,7504
139,96,,258
140,96,1,56
141,96,,237
142,8,25,1000
143,8,,1185
144,8,,2852
145,96,,98
146,96,,1980
147,96,,104
148,96,,576
149,96,,72
150,96,,11115
151,96,,170
152,96,,72
153,96,,62
154,96,,40
155,96,1,20
156,96,,258
157,13,,2000
158,8,29,1160
159,8,23,920
160,8,8,320
161,96,,220
162,96,,218
163,96,,401
164,96,,88
165,96,,2969
166,96,,250
167,96,,51
168,96,,445
169,8,45,1800
169,19,,695
170,8,21,860
171,112,,135
172,13,,1750
173,96,,57
174,96,,980
175,8,10,400
176,96,1,29
177,96,,217
178,96,,4406
179,96,1,80
180,96,1,1160
181,96,1,305
182,49,3,150
182,50,15,750
182,51,10,500
182,96,8,120
182,135,5,90
182,136,8,240
183,96,1,37
184,96,20,375
185,26,15,240
185,32,,536
185,36,,1175
185,37,,1148
185,108,4,120
186,92,65,1657.5
186,137,177,4956
187,96,5,175
188,96,20,1097
190,139,588,9694
191,142,79,3792
192,143,10,380
193,96,1,510
194,8,35,1400
195,13,25,2100
195,32,18,540
195,36,39,1170
195,37,39,1170
195,38,40,1086
196,26,20,320
196,32,30,540
196,36,30,1170
196,38,18,630
196,145,20,460
196,146,50,1000
196,147,50,650
197,55,405,8302.5
197,148,177,4956
198,96,1,77
199,8,13,520
199,21,3,75
200,96,1,38
202,151,50,1975
203,150,58,2349
204,96,5,250
205,96,1,37
206,8,5,200
207,96,1,52
208,32,30,540
209,153,78,1170
210,152,65,2587.5
211,8,3,120
213,45,,15927
214,36,30,1170
215,152,55,2172
215,154,101,2727
216,96,1,38
217,152,65,2587.5
218,96,1,12005
219,157,101,5252
220,32,30,540
221,35,9,108
221,159,11,176
222,96,27,18
223,8,6,240
224,93,69,2691
225,96,2,1660
226,96,4,66
227,96,5,151
228,8,15,229
229,8,20,520
230,8,12,480
231,173,25,1250
232,49,20,1000
232,50,15,750
232,51,6,300
232,52,260,360
232,171,12,120
232,172,12,384
233,8,11,440
234,99,59,1711
234,105,65,3380
234,160,50,1250
234,167,147,1764
234,354,156,4212
236,48,24,792
236,174,9,254
237,35,58,696
237,175,133,2394
237,176,65,260
238,128,8,34
239,8,18,720
239,96,25,824
240,27,2,70
240,177,2,28
241,33,12,144
241,52,48,1152
241,63,4,192
241,102,24,576
241,143,10,120
241,178,25,600
241,179,20,240
241,180,10,120
241,181,3,36
241,182,12,144
241,183,16,192
241,184,10,240
241,185,10,120
241,186,10,120
241,187,5,120
241,188,11,264
241,189,12,288
242,81,223,3456.5
242,166,71,1562
242,167,200,4587
243,56,116,4988
243,74,125,3375
243,82,128,5632
243,120,84,2184
243,161,37,1295
244,8,25,1000
245,190,50,750
246,96,2,33
247,130,187,5049
247,191,96,1440
248,163,78,2028
249,36,30,1170
249,37,39,858
249,38,35,280
249,147,20,260
249,192,80,1680
249,193,3,66
250,173,6,11200
251,8,10,400
252,8,10,400
253,96,1,16
254,8,6,240
255,154,25,875
255,157,51,2652
257,195,9,360
258,19,16,288
259,96,5,2090
260,13,2,120
261,13,2,100
262,32,32,576
262,36,27,1053
262,37,27,1053
262,197,4,28
262,198,4,28
262,199,4,16
262,200,30,480
262,201,210,2520
263,8,4,200
264,171,227,5902
265,96,1,5
266,13,4,117
267,8,5,200
267,96,10,460
268,96,3,105
269,96,1,5
270,13,4,80
271,96,1,40
272,96,7,140
273,81,167,2588.5
273,191,211,3165
273,202,111,4884
274,13,2,37
275,22,28,504
276,13,2,47
277,13,2,90
278,8,18,720
279,8,34,1360
280,25,6,60
281,96,20,520
282,13,3,100
283,36,7,273
283,37,30,1170
283,38,23,805
283,69,50,1800
283,200,45,720
283,203,60,540
285,204,5,90
286,157,20,1040
287,157,25,1300
288,13,4,95
289,8,14,560
290,96,1,15
291,96,10,350
292,13,3,55
293,96,1,7
294,13,4,122
295,13,5,97
296,96,2,43
297,59,501,13527
297,73,104,2173.6
297,191,211,3165
298,206,148,1998
299,207,20,1080
301,49,10,500
301,50,10,500
301,51,10,500
301,63,20,280
302,26,20,280
302,32,20,360
302,36,25,975
302,37,39,741
302,47,20,100
302,113,15,255
302,222,126,126
303,13,3,50
304,96,1,25
305,96,7,4750
306,96,1,600
307,96,1,50
308,224,9,126
309,96,1,382
310,96,1,285
311,96,3,140
312,96,4,180
313,96,4,45
314,96,3,60
315,96,5,120
316,96,3,45
317,116,100,5000
318,49,10,500
318,50,10,500
